sensor,total,start,end
PLV1,0.0,2018-04-24T02:00:00.000+02:00,2018-04-25T02:00:00.000+02:00
PLV1,0.0,2018-04-25T02:00:00.000+02:00,2018-04-26T02:00:00.000+02:00
PLV1,0.0,2018-04-26T02:00:00.000+02:00,2018-04-27T02:00:00.000+02:00
PLV1,0.0,2018-04-27T02:00:00.000+02:00,2018-04-28T02:00:00.000+02:00
PLV1,0.0,2018-04-28T02:00:00.000+02:00,2018-04-29T02:00:00.000+02:00
PLV1,0.0,2018-04-29T02:00:00.000+02:00,2018-04-30T02:00:00.000+02:00
PLV1,0.0,2018-04-30T02:00:00.000+02:00,2018-05-01T02:00:00.000+02:00
PLV1,0.28,2018-05-01T02:00:00.000+02:00,2018-05-02T02:00:00.000+02:00
PLV1,0.0,2018-05-02T02:00:00.000+02:00,2018-05-03T02:00:00.000+02:00
PLV1,2.5200000000000005,2018-05-03T02:00:00.000+02:00,2018-05-04T02:00:00.000+02:00
PLV1,2.5200000000000005,2018-05-04T02:00:00.000+02:00,2018-05-05T02:00:00.000+02:00
PLV1,0.56,2018-05-05T02:00:00.000+02:00,2018-05-06T02:00:00.000+02:00
PLV1,0.28,2018-05-06T02:00:00.000+02:00,2018-05-07T02:00:00.000+02:00
PLV1,1.12,2018-05-07T02:00:00.000+02:00,2018-05-08T02:00:00.000+02:00
PLV1,29.349999999999998,2018-05-08T02:00:00.000+02:00,2018-05-09T02:00:00.000+02:00
PLV1,17.05,2018-05-09T02:00:00.000+02:00,2018-05-10T02:00:00.000+02:00
PLV1,5.03,2018-05-10T02:00:00.000+02:00,2018-05-11T02:00:00.000+02:00
PLV1,0.0,2018-05-11T02:00:00.000+02:00,2018-05-12T02:00:00.000+02:00
PLV1,0.0,2018-05-12T02:00:00.000+02:00,2018-05-13T02:00:00.000+02:00
PLV1,4.19,2018-05-13T02:00:00.000+02:00,2018-05-14T02:00:00.000+02:00
PLV1,0.28,2018-05-14T02:00:00.000+02:00,2018-05-15T02:00:00.000+02:00
PLV1,12.309999999999999,2018-05-15T02:00:00.000+02:00,2018-05-16T02:00:00.000+02:00
PLV1,0.28,2018-05-16T02:00:00.000+02:00,2018-05-17T02:00:00.000+02:00
PLV1,0.0,2018-05-17T02:00:00.000+02:00,2018-05-18T02:00:00.000+02:00
PLV1,0.0,2018-05-18T02:00:00.000+02:00,2018-05-19T02:00:00.000+02:00
PLV1,0.0,2018-05-19T02:00:00.000+02:00,2018-05-20T02:00:00.000+02:00
PLV1,0.0,2018-05-20T02:00:00.000+02:00,2018-05-21T02:00:00.000+02:00
PLV1,0.28,2018-05-21T02:00:00.000+02:00,2018-05-22T02:00:00.000+02:00
PLV1,2.8,2018-05-22T02:00:00.000+02:00,2018-05-23T02:00:00.000+02:00
PLV1,5.59,2018-05-23T02:00:00.000+02:00,2018-05-24T02:00:00.000+02:00
PLV1,0.0,2018-05-24T02:00:00.000+02:00,2018-05-25T02:00:00.000+02:00
PLV1,0.0,2018-05-25T02:00:00.000+02:00,2018-05-26T02:00:00.000+02:00
PLV1,0.0,2018-05-26T02:00:00.000+02:00,2018-05-27T02:00:00.000+02:00
PLV1,0.0,2018-05-27T02:00:00.000+02:00,2018-05-28T02:00:00.000+02:00
PLV1,0.0,2018-05-28T02:00:00.000+02:00,2018-05-29T02:00:00.000+02:00
PLV1,0.0,2018-05-29T02:00:00.000+02:00,2018-05-30T02:00:00.000+02:00
PLV1,0.0,2018-05-30T02:00:00.000+02:00,2018-05-31T02:00:00.000+02:00
PLV1,0.0,2018-05-31T02:00:00.000+02:00,2018-06-01T02:00:00.000+02:00
PLV1,0.0,2018-06-01T02:00:00.000+02:00,2018-06-02T02:00:00.000+02:00
PLV1,0.0,2018-06-02T02:00:00.000+02:00,2018-06-03T02:00:00.000+02:00
PLV1,0.0,2018-06-03T02:00:00.000+02:00,2018-06-04T02:00:00.000+02:00
PLV1,0.0,2018-06-04T02:00:00.000+02:00,2018-06-05T02:00:00.000+02:00
PLV1,1.4000000000000001,2018-06-05T02:00:00.000+02:00,2018-06-06T02:00:00.000+02:00
PLV1,0.0,2018-06-06T02:00:00.000+02:00,2018-06-07T02:00:00.000+02:00
PLV1,4.75,2018-06-07T02:00:00.000+02:00,2018-06-08T02:00:00.000+02:00
PLV1,0.0,2018-06-19T02:00:00.000+02:00,2018-06-20T02:00:00.000+02:00
PLV1,0.0,2018-06-20T02:00:00.000+02:00,2018-06-21T02:00:00.000+02:00
PLV1,0.0,2018-06-21T02:00:00.000+02:00,2018-06-22T02:00:00.000+02:00
PLV1,0.0,2018-06-22T02:00:00.000+02:00,2018-06-23T02:00:00.000+02:00
PLV1,0.0,2018-06-23T02:00:00.000+02:00,2018-06-24T02:00:00.000+02:00
PLV1,0.0,2018-06-24T02:00:00.000+02:00,2018-06-25T02:00:00.000+02:00
PLV1,0.8400000000000001,2018-06-25T02:00:00.000+02:00,2018-06-26T02:00:00.000+02:00
PLV1,0.0,2018-06-26T02:00:00.000+02:00,2018-06-27T02:00:00.000+02:00
PLV1,0.0,2018-06-27T02:00:00.000+02:00,2018-06-28T02:00:00.000+02:00
PLV1,1.68,2018-06-28T02:00:00.000+02:00,2018-06-29T02:00:00.000+02:00
PLV1,0.0,2018-06-29T02:00:00.000+02:00,2018-06-30T02:00:00.000+02:00
PLV1,0.0,2018-06-30T02:00:00.000+02:00,2018-07-01T02:00:00.000+02:00
PLV1,0.0,2018-07-01T02:00:00.000+02:00,2018-07-02T02:00:00.000+02:00
PLV1,0.0,2018-07-02T02:00:00.000+02:00,2018-07-03T02:00:00.000+02:00
PLV1,0.0,2018-07-03T02:00:00.000+02:00,2018-07-04T02:00:00.000+02:00
PLV1,0.0,2018-07-04T02:00:00.000+02:00,2018-07-05T02:00:00.000+02:00
PLV1,0.0,2018-07-05T02:00:00.000+02:00,2018-07-06T02:00:00.000+02:00
PLV1,0.0,2018-07-06T02:00:00.000+02:00,2018-07-07T02:00:00.000+02:00
PLV1,0.0,2018-07-07T02:00:00.000+02:00,2018-07-08T02:00:00.000+02:00
PLV1,0.0,2018-07-08T02:00:00.000+02:00,2018-07-09T02:00:00.000+02:00
PLV1,0.0,2018-07-09T02:00:00.000+02:00,2018-07-10T02:00:00.000+02:00
PLV1,0.0,2018-07-10T02:00:00.000+02:00,2018-07-11T02:00:00.000+02:00
PLV1,0.0,2018-07-11T02:00:00.000+02:00,2018-07-12T02:00:00.000+02:00
PLV1,0.0,2018-07-12T02:00:00.000+02:00,2018-07-13T02:00:00.000+02:00
PLV1,0.0,2018-07-13T02:00:00.000+02:00,2018-07-14T02:00:00.000+02:00
PLV1,0.0,2018-07-14T02:00:00.000+02:00,2018-07-15T02:00:00.000+02:00
PLV1,0.0,2018-07-15T02:00:00.000+02:00,2018-07-16T02:00:00.000+02:00
PLV1,20.68,2018-07-16T02:00:00.000+02:00,2018-07-17T02:00:00.000+02:00
PLV1,2.24,2018-07-17T02:00:00.000+02:00,2018-07-18T02:00:00.000+02:00
PLV1,0.0,2018-07-18T02:00:00.000+02:00,2018-07-19T02:00:00.000+02:00
PLV1,0.0,2018-07-19T02:00:00.000+02:00,2018-07-20T02:00:00.000+02:00
PLV1,0.0,2018-07-20T02:00:00.000+02:00,2018-07-21T02:00:00.000+02:00
PLV1,0.0,2018-07-21T02:00:00.000+02:00,2018-07-22T02:00:00.000+02:00
PLV1,0.0,2018-07-22T02:00:00.000+02:00,2018-07-23T02:00:00.000+02:00
PLV1,6.99,2018-07-23T02:00:00.000+02:00,2018-07-24T02:00:00.000+02:00
PLV1,0.0,2018-07-24T02:00:00.000+02:00,2018-07-25T02:00:00.000+02:00
PLV1,0.0,2018-07-25T02:00:00.000+02:00,2018-07-26T02:00:00.000+02:00
PLV1,8.38,2018-07-26T02:00:00.000+02:00,2018-07-27T02:00:00.000+02:00
PLV1,0.0,2018-07-27T02:00:00.000+02:00,2018-07-28T02:00:00.000+02:00
PLV1,0.0,2018-07-28T02:00:00.000+02:00,2018-07-29T02:00:00.000+02:00
PLV1,0.0,2018-07-29T02:00:00.000+02:00,2018-07-30T02:00:00.000+02:00
PLV1,0.0,2018-07-30T02:00:00.000+02:00,2018-07-31T02:00:00.000+02:00
PLV1,0.0,2018-07-31T02:00:00.000+02:00,2018-08-01T02:00:00.000+02:00
PLV1,0.0,2018-08-01T02:00:00.000+02:00,2018-08-02T02:00:00.000+02:00
PLV1,0.0,2018-08-02T02:00:00.000+02:00,2018-08-03T02:00:00.000+02:00
PLV1,0.56,2018-08-03T02:00:00.000+02:00,2018-08-04T02:00:00.000+02:00
PLV1,3.3499999999999996,2018-08-04T02:00:00.000+02:00,2018-08-05T02:00:00.000+02:00
PLV1,0.0,2018-08-05T02:00:00.000+02:00,2018-08-06T02:00:00.000+02:00
PLV1,0.0,2018-08-06T02:00:00.000+02:00,2018-08-07T02:00:00.000+02:00
PLV1,0.0,2018-08-07T02:00:00.000+02:00,2018-08-08T02:00:00.000+02:00
PLV1,0.56,2018-08-08T02:00:00.000+02:00,2018-08-09T02:00:00.000+02:00
PLV1,0.0,2018-08-09T02:00:00.000+02:00,2018-08-10T02:00:00.000+02:00
PLV1,0.0,2018-08-10T02:00:00.000+02:00,2018-08-11T02:00:00.000+02:00
PLV1,0.0,2018-08-11T02:00:00.000+02:00,2018-08-12T02:00:00.000+02:00
PLV1,0.0,2018-08-12T02:00:00.000+02:00,2018-08-13T02:00:00.000+02:00
PLV1,0.0,2018-08-13T02:00:00.000+02:00,2018-08-14T02:00:00.000+02:00
PLV1,4.76,2018-08-14T02:00:00.000+02:00,2018-08-15T02:00:00.000+02:00
PLV1,10.06,2018-08-15T02:00:00.000+02:00,2018-08-16T02:00:00.000+02:00
PLV1,0.0,2018-08-28T02:00:00.000+02:00,2018-08-29T02:00:00.000+02:00
PLV1,0.0,2018-08-29T02:00:00.000+02:00,2018-08-30T02:00:00.000+02:00
PLV1,0.0,2018-08-30T02:00:00.000+02:00,2018-08-31T02:00:00.000+02:00
PLV1,16.21,2018-08-31T02:00:00.000+02:00,2018-09-01T02:00:00.000+02:00
PLV1,15.65,2018-09-01T02:00:00.000+02:00,2018-09-02T02:00:00.000+02:00
PLV1,0.0,2018-09-02T02:00:00.000+02:00,2018-09-03T02:00:00.000+02:00
PLV1,0.0,2018-09-03T02:00:00.000+02:00,2018-09-04T02:00:00.000+02:00
PLV1,0.0,2018-09-04T02:00:00.000+02:00,2018-09-05T02:00:00.000+02:00
PLV1,0.0,2018-09-05T02:00:00.000+02:00,2018-09-06T02:00:00.000+02:00
PLV1,0.0,2018-09-06T02:00:00.000+02:00,2018-09-07T02:00:00.000+02:00
PLV1,2.5200000000000005,2018-09-07T02:00:00.000+02:00,2018-09-08T02:00:00.000+02:00
PLV1,0.0,2018-09-08T02:00:00.000+02:00,2018-09-09T02:00:00.000+02:00
PLV1,0.0,2018-09-09T02:00:00.000+02:00,2018-09-10T02:00:00.000+02:00
PLV1,0.0,2018-09-10T02:00:00.000+02:00,2018-09-11T02:00:00.000+02:00
PLV1,0.0,2018-09-11T02:00:00.000+02:00,2018-09-12T02:00:00.000+02:00
PLV1,0.0,2018-09-12T02:00:00.000+02:00,2018-09-13T02:00:00.000+02:00
PLV1,0.28,2018-09-13T02:00:00.000+02:00,2018-09-14T02:00:00.000+02:00
PLV1,0.0,2018-09-14T02:00:00.000+02:00,2018-09-15T02:00:00.000+02:00
PLV1,0.0,2018-09-15T02:00:00.000+02:00,2018-09-16T02:00:00.000+02:00
PLV1,0.0,2018-09-16T02:00:00.000+02:00,2018-09-17T02:00:00.000+02:00
PLV1,0.0,2018-09-17T02:00:00.000+02:00,2018-09-18T02:00:00.000+02:00
PLV1,4.76,2018-09-18T02:00:00.000+02:00,2018-09-19T02:00:00.000+02:00
PLV1,5.04,2018-09-19T02:00:00.000+02:00,2018-09-20T02:00:00.000+02:00
PLV1,2.2399999999999998,2018-09-20T02:00:00.000+02:00,2018-09-21T02:00:00.000+02:00
PLV1,0.28,2018-09-21T02:00:00.000+02:00,2018-09-22T02:00:00.000+02:00
PLV1,0.0,2018-09-22T02:00:00.000+02:00,2018-09-23T02:00:00.000+02:00
PLV1,0.0,2018-09-23T02:00:00.000+02:00,2018-09-24T02:00:00.000+02:00
PLV1,0.0,2018-09-24T02:00:00.000+02:00,2018-09-25T02:00:00.000+02:00
PLV1,0.0,2018-09-25T02:00:00.000+02:00,2018-09-26T02:00:00.000+02:00
PLV1,0.0,2018-09-26T02:00:00.000+02:00,2018-09-27T02:00:00.000+02:00
PLV1,0.0,2018-09-27T02:00:00.000+02:00,2018-09-28T02:00:00.000+02:00
PLV1,0.0,2018-09-28T02:00:00.000+02:00,2018-09-29T02:00:00.000+02:00
PLV1,0.0,2018-09-29T02:00:00.000+02:00,2018-09-30T02:00:00.000+02:00
PLV1,0.0,2018-09-30T02:00:00.000+02:00,2018-10-01T02:00:00.000+02:00
PLV1,10.34,2018-10-01T02:00:00.000+02:00,2018-10-02T02:00:00.000+02:00
PLV1,0.0,2018-10-02T02:00:00.000+02:00,2018-10-03T02:00:00.000+02:00
PLV1,0.0,2018-10-03T02:00:00.000+02:00,2018-10-04T02:00:00.000+02:00
PLV1,0.0,2018-10-04T02:00:00.000+02:00,2018-10-05T02:00:00.000+02:00
PLV1,10.9,2018-10-05T02:00:00.000+02:00,2018-10-06T02:00:00.000+02:00
PLV1,16.78,2018-10-06T02:00:00.000+02:00,2018-10-07T02:00:00.000+02:00
PLV1,3.91,2018-10-07T02:00:00.000+02:00,2018-10-08T02:00:00.000+02:00
PLV1,0.0,2018-10-08T02:00:00.000+02:00,2018-10-09T02:00:00.000+02:00
PLV1,2.52,2018-10-09T02:00:00.000+02:00,2018-10-10T02:00:00.000+02:00
PLV1,0.0,2018-10-10T02:00:00.000+02:00,2018-10-11T02:00:00.000+02:00
PLV1,0.28,2018-10-11T02:00:00.000+02:00,2018-10-12T02:00:00.000+02:00
PLV1,0.0,2018-10-12T02:00:00.000+02:00,2018-10-13T02:00:00.000+02:00
PLV1,0.0,2018-10-13T02:00:00.000+02:00,2018-10-14T02:00:00.000+02:00
PLV1,0.0,2018-10-14T02:00:00.000+02:00,2018-10-15T02:00:00.000+02:00
PLV1,0.0,2018-10-15T02:00:00.000+02:00,2018-10-16T02:00:00.000+02:00
PLV1,0.0,2018-10-16T02:00:00.000+02:00,2018-10-17T02:00:00.000+02:00
PLV1,0.0,2018-10-17T02:00:00.000+02:00,2018-10-18T02:00:00.000+02:00
PLV1,0.0,2018-10-18T02:00:00.000+02:00,2018-10-19T02:00:00.000+02:00
PLV1,0.0,2018-10-19T02:00:00.000+02:00,2018-10-20T02:00:00.000+02:00
PLV1,0.0,2018-10-20T02:00:00.000+02:00,2018-10-21T02:00:00.000+02:00
PLV1,16.48,2018-10-21T02:00:00.000+02:00,2018-10-22T02:00:00.000+02:00
PLV1,0.0,2018-10-22T02:00:00.000+02:00,2018-10-23T02:00:00.000+02:00
PLV1,0.0,2018-10-23T02:00:00.000+02:00,2018-10-24T02:00:00.000+02:00
PLV1,0.0,2018-10-24T02:00:00.000+02:00,2018-10-25T02:00:00.000+02:00
PLV1,0.0,2018-10-25T02:00:00.000+02:00,2018-10-26T02:00:00.000+02:00
PLV1,0.0,2018-10-26T02:00:00.000+02:00,2018-10-27T02:00:00.000+02:00
PLV1,3.08,2018-10-27T02:00:00.000+02:00,2018-10-28T02:00:00.000+02:00
PLV1,7.819999999999999,2018-10-28T02:00:00.000+02:00,2018-10-29T01:00:00.000+01:00
PLV1,12.59,2018-10-29T01:00:00.000+01:00,2018-10-30T01:00:00.000+01:00
PLV1,8.67,2018-10-30T01:00:00.000+01:00,2018-10-31T01:00:00.000+01:00
PLV1,0.0,2018-10-31T01:00:00.000+01:00,2018-11-01T01:00:00.000+01:00
PLV1,31.299999999999997,2018-11-01T01:00:00.000+01:00,2018-11-02T01:00:00.000+01:00
PLV1,5.590000000000001,2018-11-02T01:00:00.000+01:00,2018-11-03T01:00:00.000+01:00
PLV1,0.8400000000000001,2018-11-03T01:00:00.000+01:00,2018-11-04T01:00:00.000+01:00
PLV1,8.680000000000001,2018-11-04T01:00:00.000+01:00,2018-11-05T01:00:00.000+01:00
PLV1,10.35,2018-11-05T01:00:00.000+01:00,2018-11-06T01:00:00.000+01:00
PLV1,0.0,2018-11-06T01:00:00.000+01:00,2018-11-07T01:00:00.000+01:00
PLV1,2.5200000000000005,2018-11-07T01:00:00.000+01:00,2018-11-08T01:00:00.000+01:00
PLV1,0.0,2018-11-08T01:00:00.000+01:00,2018-11-09T01:00:00.000+01:00
PLV1,0.0,2018-11-09T01:00:00.000+01:00,2018-11-10T01:00:00.000+01:00
PLV1,0.0,2018-11-10T01:00:00.000+01:00,2018-11-11T01:00:00.000+01:00
PLV1,0.0,2018-11-11T01:00:00.000+01:00,2018-11-12T01:00:00.000+01:00
PLV1,0.0,2018-11-12T01:00:00.000+01:00,2018-11-13T01:00:00.000+01:00
PLV1,0.0,2018-11-13T01:00:00.000+01:00,2018-11-14T01:00:00.000+01:00
PLV1,0.0,2018-11-14T01:00:00.000+01:00,2018-11-15T01:00:00.000+01:00
PLV1,0.0,2018-11-15T01:00:00.000+01:00,2018-11-16T01:00:00.000+01:00
PLV1,0.0,2018-11-16T01:00:00.000+01:00,2018-11-17T01:00:00.000+01:00
PLV1,0.0,2018-11-17T01:00:00.000+01:00,2018-11-18T01:00:00.000+01:00
PLV1,0.0,2018-11-18T01:00:00.000+01:00,2018-11-19T01:00:00.000+01:00
PLV1,3.3600000000000003,2018-11-19T01:00:00.000+01:00,2018-11-20T01:00:00.000+01:00
PLV1,15.65,2018-11-20T01:00:00.000+01:00,2018-11-21T01:00:00.000+01:00
PLV1,0.0,2018-12-12T01:00:00.000+01:00,2018-12-13T01:00:00.000+01:00
PLV1,4.2,2018-12-13T01:00:00.000+01:00,2018-12-14T01:00:00.000+01:00
PLV1,4.760000000000001,2018-12-14T01:00:00.000+01:00,2018-12-15T01:00:00.000+01:00
PLV1,0.0,2018-12-15T01:00:00.000+01:00,2018-12-16T01:00:00.000+01:00
PLV1,1.6800000000000002,2018-12-16T01:00:00.000+01:00,2018-12-17T01:00:00.000+01:00
PLV1,2.5200000000000005,2018-12-17T01:00:00.000+01:00,2018-12-18T01:00:00.000+01:00
PLV1,0.0,2018-12-18T01:00:00.000+01:00,2018-12-19T01:00:00.000+01:00
PLV1,0.0,2018-12-19T01:00:00.000+01:00,2018-12-20T01:00:00.000+01:00
PLV1,0.56,2018-12-20T01:00:00.000+01:00,2018-12-21T01:00:00.000+01:00
PLV1,0.0,2018-12-21T01:00:00.000+01:00,2018-12-22T01:00:00.000+01:00
PLV1,0.28,2018-12-22T01:00:00.000+01:00,2018-12-23T01:00:00.000+01:00
PLV1,0.28,2018-12-23T01:00:00.000+01:00,2018-12-24T01:00:00.000+01:00
PLV1,0.0,2018-12-24T01:00:00.000+01:00,2018-12-25T01:00:00.000+01:00
PLV1,0.0,2018-12-25T01:00:00.000+01:00,2018-12-26T01:00:00.000+01:00
PLV1,0.0,2018-12-26T01:00:00.000+01:00,2018-12-27T01:00:00.000+01:00
PLV1,0.0,2018-12-27T01:00:00.000+01:00,2018-12-28T01:00:00.000+01:00
PLV1,0.0,2018-12-28T01:00:00.000+01:00,2018-12-29T01:00:00.000+01:00
PLV1,0.0,2018-12-29T01:00:00.000+01:00,2018-12-30T01:00:00.000+01:00
PLV1,0.0,2018-12-30T01:00:00.000+01:00,2018-12-31T01:00:00.000+01:00
PLV1,0.0,2018-12-31T01:00:00.000+01:00,2019-01-01T01:00:00.000+01:00
PLV1,0.0,2019-01-01T01:00:00.000+01:00,2019-01-02T01:00:00.000+01:00
PLV1,0.0,2019-01-02T01:00:00.000+01:00,2019-01-03T01:00:00.000+01:00
PLV1,0.0,2019-01-03T01:00:00.000+01:00,2019-01-04T01:00:00.000+01:00
PLV1,0.0,2019-01-04T01:00:00.000+01:00,2019-01-05T01:00:00.000+01:00
PLV1,0.0,2019-01-05T01:00:00.000+01:00,2019-01-06T01:00:00.000+01:00
PLV1,0.0,2019-01-06T01:00:00.000+01:00,2019-01-07T01:00:00.000+01:00
PLV1,0.0,2019-01-07T01:00:00.000+01:00,2019-01-08T01:00:00.000+01:00
PLV1,2.8,2019-01-08T01:00:00.000+01:00,2019-01-09T01:00:00.000+01:00
PLV1,3.3600000000000003,2019-01-09T01:00:00.000+01:00,2019-01-10T01:00:00.000+01:00
PLV1,0.0,2019-01-10T01:00:00.000+01:00,2019-01-11T01:00:00.000+01:00
PLV1,0.0,2019-01-11T01:00:00.000+01:00,2019-01-12T01:00:00.000+01:00
PLV1,0.0,2019-01-12T01:00:00.000+01:00,2019-01-13T01:00:00.000+01:00
PLV1,0.0,2019-01-13T01:00:00.000+01:00,2019-01-14T01:00:00.000+01:00
PLV1,1.12,2019-01-14T01:00:00.000+01:00,2019-01-15T01:00:00.000+01:00
PLV1,0.0,2019-01-15T01:00:00.000+01:00,2019-01-16T01:00:00.000+01:00
PLV1,0.0,2019-01-16T01:00:00.000+01:00,2019-01-17T01:00:00.000+01:00
PLV1,5.03,2019-01-17T01:00:00.000+01:00,2019-01-18T01:00:00.000+01:00
PLV1,2.79,2019-01-18T01:00:00.000+01:00,2019-01-19T01:00:00.000+01:00
PLV1,0.28,2019-01-19T01:00:00.000+01:00,2019-01-20T01:00:00.000+01:00
PLV1,5.32,2019-01-20T01:00:00.000+01:00,2019-01-21T01:00:00.000+01:00
PLV1,3.3600000000000003,2019-01-21T01:00:00.000+01:00,2019-01-22T01:00:00.000+01:00
PLV1,9.23,2019-01-22T01:00:00.000+01:00,2019-01-23T01:00:00.000+01:00
PLV1,5.32,2019-01-23T01:00:00.000+01:00,2019-01-24T01:00:00.000+01:00
PLV1,0.28,2019-01-24T01:00:00.000+01:00,2019-01-25T01:00:00.000+01:00
