id;id_wasp;id_secret;frame_type;frame_number;sensor;value;timestamp;sync;raw;parser_type;MeshliumID
16384;WeatherStation;49387063D9374225;134;135;PLV2;0.00;"2018-06-20 21:02:40";128;noraw;1;meshliuma460
16940;WeatherStation;49387063D9374225;134;192;PLV2;0.00;"2018-06-20 22:04:18";128;noraw;1;meshliuma460
17493;WeatherStation;49387063D9374225;134;248;PLV2;0.00;"2018-06-20 23:04:31";128;noraw;1;meshliuma460
18075;WeatherStation;49387063D9374225;134;48;PLV2;0.00;"2018-06-21 00:04:46";128;noraw;1;meshliuma460
18606;WeatherStation;49387063D9374225;134;53;PLV2;0.00;"2018-06-21 01:02:45";128;noraw;1;meshliuma460
19168;WeatherStation;49387063D9374225;134;109;PLV2;0.00;"2018-06-21 02:02:57";128;noraw;1;meshliuma460
19752;WeatherStation;49387063D9374225;134;165;PLV2;0.00;"2018-06-21 03:03:09";128;noraw;1;meshliuma460
20329;WeatherStation;49387063D9374225;134;221;PLV2;0.00;"2018-06-21 04:03:21";128;noraw;1;meshliuma460
20898;WeatherStation;49387063D9374225;134;21;PLV2;0.00;"2018-06-21 05:03:33";128;noraw;1;meshliuma460
21461;WeatherStation;49387063D9374225;134;77;PLV2;0.00;"2018-06-21 06:03:45";128;noraw;1;meshliuma460
22050;WeatherStation;49387063D9374225;134;133;PLV2;0.00;"2018-06-21 07:04:00";128;noraw;1;meshliuma460
22622;WeatherStation;49387063D9374225;134;189;PLV2;0.00;"2018-06-21 08:04:25";128;noraw;1;meshliuma460
23178;WeatherStation;49387063D9374225;134;241;PLV2;0.00;"2018-06-21 09:00:51";128;noraw;1;meshliuma460
23713;WeatherStation;49387063D9374225;134;40;PLV2;0.00;"2018-06-21 10:01:49";128;noraw;1;meshliuma460
24293;WeatherStation;49387063D9374225;134;96;PLV2;0.00;"2018-06-21 11:02:25";128;noraw;1;meshliuma460
24887;WeatherStation;49387063D9374225;134;152;PLV2;0.00;"2018-06-21 12:02:39";128;noraw;1;meshliuma460
25449;WeatherStation;49387063D9374225;134;208;PLV2;0.00;"2018-06-21 13:02:57";128;noraw;1;meshliuma460
26010;WeatherStation;49387063D9374225;134;8;PLV2;0.00;"2018-06-21 14:03:13";128;noraw;1;meshliuma460
26583;WeatherStation;49387063D9374225;134;64;PLV2;0.00;"2018-06-21 15:03:53";128;noraw;1;meshliuma460
27164;WeatherStation;49387063D9374225;134;120;PLV2;0.00;"2018-06-21 16:04:48";128;noraw;1;meshliuma460
27686;WeatherStation;49387063D9374225;134;172;PLV2;0.00;"2018-06-21 17:00:50";128;noraw;1;meshliuma460
28258;WeatherStation;49387063D9374225;134;228;PLV2;0.00;"2018-06-21 18:01:09";128;noraw;1;meshliuma460
28832;WeatherStation;49387063D9374225;134;28;PLV2;0.00;"2018-06-21 19:01:30";128;noraw;1;meshliuma460
29422;WeatherStation;49387063D9374225;134;84;PLV2;0.00;"2018-06-21 20:01:45";128;noraw;1;meshliuma460
30010;WeatherStation;49387063D9374225;134;140;PLV2;0.00;"2018-06-21 21:02:02";128;noraw;1;meshliuma460
30586;WeatherStation;49387063D9374225;134;196;PLV2;0.00;"2018-06-21 22:02:18";128;noraw;1;meshliuma460
31153;WeatherStation;49387063D9374225;134;252;PLV2;0.00;"2018-06-21 23:02:35";128;noraw;1;meshliuma460
31746;WeatherStation;49387063D9374225;134;52;PLV2;0.00;"2018-06-22 00:02:51";128;noraw;1;meshliuma460
32335;WeatherStation;49387063D9374225;134;56;PLV2;0.00;"2018-06-22 01:02:37";128;noraw;1;meshliuma460
32896;WeatherStation;49387063D9374225;134;112;PLV2;0.00;"2018-06-22 02:02:49";128;noraw;1;meshliuma460
33499;WeatherStation;49387063D9374225;134;168;PLV2;0.00;"2018-06-22 03:03:01";128;noraw;1;meshliuma460
34080;WeatherStation;49387063D9374225;134;224;PLV2;0.00;"2018-06-22 04:03:13";128;noraw;1;meshliuma460
34658;WeatherStation;49387063D9374225;134;24;PLV2;0.00;"2018-06-22 05:03:25";128;noraw;1;meshliuma460
35244;WeatherStation;49387063D9374225;134;80;PLV2;0.00;"2018-06-22 06:03:37";128;noraw;1;meshliuma460
35756;WeatherStation;49387063D9374225;134;136;PLV2;0.00;"2018-06-22 07:03:50";128;noraw;1;meshliuma460
36219;WeatherStation;49387063D9374225;134;192;PLV2;0.00;"2018-06-22 08:04:11";128;noraw;1;meshliuma460
36819;WeatherStation;49387063D9374225;134;248;PLV2;0.00;"2018-06-22 09:04:28";128;noraw;1;meshliuma460
37396;WeatherStation;49387063D9374225;134;48;PLV2;0.00;"2018-06-22 10:04:44";128;noraw;1;meshliuma460
37944;WeatherStation;49387063D9374225;134;100;PLV2;0.00;"2018-06-22 11:00:46";128;noraw;1;meshliuma460
38535;WeatherStation;49387063D9374225;134;156;PLV2;0.00;"2018-06-22 12:01:19";128;noraw;1;meshliuma460
39094;WeatherStation;49387063D9374225;134;212;PLV2;0.00;"2018-06-22 13:01:32";128;noraw;1;meshliuma460
39679;WeatherStation;49387063D9374225;134;13;PLV2;0.00;"2018-06-22 14:03:47";128;noraw;1;meshliuma460
40251;WeatherStation;49387063D9374225;134;69;PLV2;0.00;"2018-06-22 15:04:09";128;noraw;1;meshliuma460
40807;WeatherStation;49387063D9374225;134;125;PLV2;0.00;"2018-06-22 16:04:29";128;noraw;1;meshliuma460
41398;WeatherStation;49387063D9374225;134;181;PLV2;0.00;"2018-06-22 17:04:50";128;noraw;1;meshliuma460
41934;WeatherStation;49387063D9374225;134;233;PLV2;0.00;"2018-06-22 18:00:48";128;noraw;1;meshliuma460
42512;WeatherStation;49387063D9374225;134;33;PLV2;0.00;"2018-06-22 19:01:01";128;noraw;1;meshliuma460
43080;WeatherStation;49387063D9374225;134;89;PLV2;0.00;"2018-06-22 20:01:13";128;noraw;1;meshliuma460
43668;WeatherStation;49387063D9374225;134;145;PLV2;0.00;"2018-06-22 21:01:25";128;noraw;1;meshliuma460
44254;WeatherStation;49387063D9374225;134;201;PLV2;0.00;"2018-06-22 22:01:39";128;noraw;1;meshliuma460
44823;WeatherStation;49387063D9374225;134;1;PLV2;0.00;"2018-06-22 23:01:51";128;noraw;1;meshliuma460
45397;WeatherStation;49387063D9374225;134;57;PLV2;0.00;"2018-06-23 00:02:05";128;noraw;1;meshliuma460
45982;WeatherStation;49387063D9374225;134;56;PLV2;0.00;"2018-06-23 01:01:45";128;noraw;1;meshliuma460
46576;WeatherStation;49387063D9374225;134;112;PLV2;0.00;"2018-06-23 02:01:58";128;noraw;1;meshliuma460
47157;WeatherStation;49387063D9374225;134;168;PLV2;0.00;"2018-06-23 03:02:10";128;noraw;1;meshliuma460
47749;WeatherStation;49387063D9374225;134;224;PLV2;0.00;"2018-06-23 04:02:22";128;noraw;1;meshliuma460
48326;WeatherStation;49387063D9374225;134;24;PLV2;0.00;"2018-06-23 05:02:34";128;noraw;1;meshliuma460
48917;WeatherStation;49387063D9374225;134;80;PLV2;0.00;"2018-06-23 06:02:47";128;noraw;1;meshliuma460
49507;WeatherStation;49387063D9374225;134;136;PLV2;0.00;"2018-06-23 07:02:58";128;noraw;1;meshliuma460
50084;WeatherStation;49387063D9374225;134;192;PLV2;0.00;"2018-06-23 08:03:11";128;noraw;1;meshliuma460
50652;WeatherStation;49387063D9374225;134;248;PLV2;0.00;"2018-06-23 09:03:23";128;noraw;1;meshliuma460
51244;WeatherStation;49387063D9374225;134;48;PLV2;0.00;"2018-06-23 10:03:40";128;noraw;1;meshliuma460
51810;WeatherStation;49387063D9374225;134;104;PLV2;0.00;"2018-06-23 11:03:52";128;noraw;1;meshliuma460
52381;WeatherStation;49387063D9374225;134;160;PLV2;0.00;"2018-06-23 12:04:04";128;noraw;1;meshliuma460
52956;WeatherStation;49387063D9374225;134;216;PLV2;0.00;"2018-06-23 13:04:16";128;noraw;1;meshliuma460
53507;WeatherStation;49387063D9374225;134;16;PLV2;0.00;"2018-06-23 14:04:28";128;noraw;1;meshliuma460
54071;WeatherStation;49387063D9374225;134;72;PLV2;0.00;"2018-06-23 15:04:40";128;noraw;1;meshliuma460
54646;WeatherStation;49387063D9374225;134;128;PLV2;0.00;"2018-06-23 16:04:55";128;noraw;1;meshliuma460
55147;WeatherStation;49387063D9374225;134;180;PLV2;0.00;"2018-06-23 17:00:49";128;noraw;1;meshliuma460
56297;WeatherStation;49387063D9374225;134;36;PLV2;0.00;"2018-06-23 19:01:21";128;noraw;1;meshliuma460
56853;WeatherStation;49387063D9374225;134;92;PLV2;0.00;"2018-06-23 20:01:33";128;noraw;1;meshliuma460
57419;WeatherStation;49387063D9374225;134;148;PLV2;0.00;"2018-06-23 21:01:49";128;noraw;1;meshliuma460
58007;WeatherStation;49387063D9374225;134;204;PLV2;0.00;"2018-06-23 22:02:10";128;noraw;1;meshliuma460
58585;WeatherStation;49387063D9374225;134;4;PLV2;0.00;"2018-06-23 23:02:23";128;noraw;1;meshliuma460
59142;WeatherStation;49387063D9374225;134;60;PLV2;0.00;"2018-06-24 00:02:36";128;noraw;1;meshliuma460
59734;WeatherStation;49387063D9374225;134;56;PLV2;0.00;"2018-06-24 01:02:47";128;noraw;1;meshliuma460
60275;WeatherStation;49387063D9374225;134;112;PLV2;0.00;"2018-06-24 02:03:00";128;noraw;1;meshliuma460
60856;WeatherStation;49387063D9374225;134;168;PLV2;0.00;"2018-06-24 03:03:12";128;noraw;1;meshliuma460
61420;WeatherStation;49387063D9374225;134;224;PLV2;0.00;"2018-06-24 04:03:25";128;noraw;1;meshliuma460
61971;WeatherStation;49387063D9374225;134;24;PLV2;0.00;"2018-06-24 05:03:37";128;noraw;1;meshliuma460
62528;WeatherStation;49387063D9374225;134;80;PLV2;0.00;"2018-06-24 06:03:49";128;noraw;1;meshliuma460
63097;WeatherStation;49387063D9374225;134;136;PLV2;0.00;"2018-06-24 07:04:00";128;noraw;1;meshliuma460
63508;WeatherStation;49387063D9374225;134;192;PLV2;0.00;"2018-06-24 08:04:13";128;noraw;1;meshliuma460
64069;WeatherStation;49387063D9374225;134;248;PLV2;0.00;"2018-06-24 09:04:25";128;noraw;1;meshliuma460
64645;WeatherStation;49387063D9374225;134;48;PLV2;0.00;"2018-06-24 10:04:37";128;noraw;1;meshliuma460
65205;WeatherStation;49387063D9374225;134;104;PLV2;0.00;"2018-06-24 11:04:51";128;noraw;1;meshliuma460
65733;WeatherStation;49387063D9374225;134;156;PLV2;0.00;"2018-06-24 12:00:51";128;noraw;1;meshliuma460
66308;WeatherStation;49387063D9374225;134;212;PLV2;0.00;"2018-06-24 13:01:03";128;noraw;1;meshliuma460
66870;WeatherStation;49387063D9374225;134;12;PLV2;0.00;"2018-06-24 14:01:16";128;noraw;1;meshliuma460
67437;WeatherStation;49387063D9374225;134;68;PLV2;0.00;"2018-06-24 15:01:27";128;noraw;1;meshliuma460
68002;WeatherStation;49387063D9374225;134;124;PLV2;0.00;"2018-06-24 16:01:42";128;noraw;1;meshliuma460
68573;WeatherStation;49387063D9374225;134;180;PLV2;0.00;"2018-06-24 17:01:54";128;noraw;1;meshliuma460
69121;WeatherStation;49387063D9374225;134;236;PLV2;0.00;"2018-06-24 18:02:06";128;noraw;1;meshliuma460
69708;WeatherStation;49387063D9374225;134;36;PLV2;0.00;"2018-06-24 19:02:19";128;noraw;1;meshliuma460
70270;WeatherStation;49387063D9374225;134;92;PLV2;0.00;"2018-06-24 20:02:31";128;noraw;1;meshliuma460
70851;WeatherStation;49387063D9374225;134;148;PLV2;0.00;"2018-06-24 21:02:43";128;noraw;1;meshliuma460
71437;WeatherStation;49387063D9374225;134;204;PLV2;0.00;"2018-06-24 22:02:57";128;noraw;1;meshliuma460
72001;WeatherStation;49387063D9374225;134;4;PLV2;0.00;"2018-06-24 23:03:09";128;noraw;1;meshliuma460
72565;WeatherStation;49387063D9374225;134;60;PLV2;0.00;"2018-06-25 00:03:21";128;noraw;1;meshliuma460
73113;WeatherStation;49387063D9374225;134;56;PLV2;0.00;"2018-06-25 01:02:44";128;noraw;1;meshliuma460
73692;WeatherStation;49387063D9374225;134;112;PLV2;0.00;"2018-06-25 02:02:56";128;noraw;1;meshliuma460
74251;WeatherStation;49387063D9374225;134;168;PLV2;0.00;"2018-06-25 03:03:08";128;noraw;1;meshliuma460
74843;WeatherStation;49387063D9374225;134;224;PLV2;0.00;"2018-06-25 04:03:20";128;noraw;1;meshliuma460
75412;WeatherStation;49387063D9374225;134;24;PLV2;0.00;"2018-06-25 05:03:33";128;noraw;1;meshliuma460
75996;WeatherStation;49387063D9374225;134;80;PLV2;0.00;"2018-06-25 06:03:45";128;noraw;1;meshliuma460
76541;WeatherStation;49387063D9374225;134;136;PLV2;0.00;"2018-06-25 07:03:57";128;noraw;1;meshliuma460
77108;WeatherStation;49387063D9374225;134;192;PLV2;0.00;"2018-06-25 08:04:10";128;noraw;1;meshliuma460
77679;WeatherStation;49387063D9374225;134;248;PLV2;0.00;"2018-06-25 09:04:28";128;noraw;1;meshliuma460
78252;WeatherStation;49387063D9374225;134;48;PLV2;0.00;"2018-06-25 10:04:49";128;noraw;1;meshliuma460
78803;WeatherStation;49387063D9374225;134;104;PLV2;0.00;"2018-06-25 11:05:01";128;noraw;1;meshliuma460
79289;WeatherStation;49387063D9374225;134;156;PLV2;0.00;"2018-06-25 12:00:58";128;noraw;1;meshliuma460
79860;WeatherStation;49387063D9374225;134;212;PLV2;0.00;"2018-06-25 13:01:13";128;noraw;1;meshliuma460
80423;WeatherStation;49387063D9374225;134;12;PLV2;0.00;"2018-06-25 14:01:28";128;noraw;1;meshliuma460
81004;WeatherStation;49387063D9374225;134;68;PLV2;0.28;"2018-06-25 15:00:54";128;noraw;1;meshliuma460
81589;WeatherStation;49387063D9374225;134;124;PLV2;0.00;"2018-06-25 16:05:00";128;noraw;1;meshliuma460
82136;WeatherStation;49387063D9374225;134;176;PLV2;0.00;"2018-06-25 17:01:00";128;noraw;1;meshliuma460
82717;WeatherStation;49387063D9374225;134;232;PLV2;0.00;"2018-06-25 18:01:13";128;noraw;1;meshliuma460
83320;WeatherStation;49387063D9374225;134;36;PLV2;0.28;"2018-06-25 19:04:06";128;noraw;1;meshliuma460
83901;WeatherStation;49387063D9374225;134;92;PLV2;0.00;"2018-06-25 20:04:19";128;noraw;1;meshliuma460
84451;WeatherStation;49387063D9374225;134;148;PLV2;0.00;"2018-06-25 21:04:38";128;noraw;1;meshliuma460
85027;WeatherStation;49387063D9374225;134;204;PLV2;0.00;"2018-06-25 22:04:51";128;noraw;1;meshliuma460
85535;WeatherStation;49387063D9374225;134;0;PLV2;0.00;"2018-06-25 23:00:48";128;noraw;1;meshliuma460
86135;WeatherStation;49387063D9374225;134;60;PLV2;0.28;"2018-06-26 00:03:54";128;noraw;1;meshliuma460
86718;WeatherStation;49387063D9374225;134;56;PLV2;0.00;"2018-06-26 01:03:56";128;noraw;1;meshliuma460
87277;WeatherStation;49387063D9374225;134;112;PLV2;0.00;"2018-06-26 02:04:08";128;noraw;1;meshliuma460
87860;WeatherStation;49387063D9374225;134;168;PLV2;0.00;"2018-06-26 03:04:20";128;noraw;1;meshliuma460
88441;WeatherStation;49387063D9374225;134;224;PLV2;0.00;"2018-06-26 04:04:31";128;noraw;1;meshliuma460
89004;WeatherStation;49387063D9374225;134;24;PLV2;0.00;"2018-06-26 05:04:44";128;noraw;1;meshliuma460
89564;WeatherStation;49387063D9374225;134;80;PLV2;0.00;"2018-06-26 06:04:56";128;noraw;1;meshliuma460
90091;WeatherStation;49387063D9374225;134;132;PLV2;0.00;"2018-06-26 07:00:51";128;noraw;1;meshliuma460
90658;WeatherStation;49387063D9374225;134;188;PLV2;0.00;"2018-06-26 08:01:03";128;noraw;1;meshliuma460
91217;WeatherStation;49387063D9374225;134;244;PLV2;0.00;"2018-06-26 09:01:18";128;noraw;1;meshliuma460
91797;WeatherStation;49387063D9374225;134;44;PLV2;0.00;"2018-06-26 10:01:36";128;noraw;1;meshliuma460
92351;WeatherStation;49387063D9374225;134;100;PLV2;0.00;"2018-06-26 11:02:15";128;noraw;1;meshliuma460
92931;WeatherStation;49387063D9374225;134;156;PLV2;0.00;"2018-06-26 12:02:54";128;noraw;1;meshliuma460
93523;WeatherStation;49387063D9374225;134;212;PLV2;0.00;"2018-06-26 13:03:58";128;noraw;1;meshliuma460
94019;WeatherStation;49387063D9374225;134;12;PLV2;0.00;"2018-06-26 14:04:48";128;noraw;1;meshliuma460
94574;WeatherStation;49387063D9374225;134;64;PLV2;0.00;"2018-06-26 15:01:18";128;noraw;1;meshliuma460
95162;WeatherStation;49387063D9374225;134;120;PLV2;0.00;"2018-06-26 16:02:20";128;noraw;1;meshliuma460
95738;WeatherStation;49387063D9374225;134;176;PLV2;0.00;"2018-06-26 17:03:21";128;noraw;1;meshliuma460
96337;WeatherStation;49387063D9374225;134;232;PLV2;0.00;"2018-06-26 18:04:16";128;noraw;1;meshliuma460
96917;WeatherStation;49387063D9374225;134;32;PLV2;0.00;"2018-06-26 19:05:29";128;noraw;1;meshliuma460
97432;WeatherStation;49387063D9374225;134;84;PLV2;0.00;"2018-06-26 20:01:47";128;noraw;1;meshliuma460
97994;WeatherStation;49387063D9374225;134;140;PLV2;0.00;"2018-06-26 21:02:05";128;noraw;1;meshliuma460
98586;WeatherStation;49387063D9374225;134;196;PLV2;0.00;"2018-06-26 22:02:26";128;noraw;1;meshliuma460
99138;WeatherStation;49387063D9374225;134;252;PLV2;0.00;"2018-06-26 23:02:48";128;noraw;1;meshliuma460
99698;WeatherStation;49387063D9374225;134;52;PLV2;0.00;"2018-06-27 00:03:07";128;noraw;1;meshliuma460
100263;WeatherStation;49387063D9374225;134;56;PLV2;0.00;"2018-06-27 01:02:58";128;noraw;1;meshliuma460
100782;WeatherStation;49387063D9374225;134;112;PLV2;0.00;"2018-06-27 02:03:11";128;noraw;1;meshliuma460
101212;WeatherStation;49387063D9374225;134;168;PLV2;0.00;"2018-06-27 03:03:22";128;noraw;1;meshliuma460
101782;WeatherStation;49387063D9374225;134;224;PLV2;0.00;"2018-06-27 04:03:35";128;noraw;1;meshliuma460
102341;WeatherStation;49387063D9374225;134;24;PLV2;0.00;"2018-06-27 05:03:47";128;noraw;1;meshliuma460
102915;WeatherStation;49387063D9374225;134;80;PLV2;0.00;"2018-06-27 06:03:59";128;noraw;1;meshliuma460
103477;WeatherStation;49387063D9374225;134;136;PLV2;0.00;"2018-06-27 07:04:12";128;noraw;1;meshliuma460
104037;WeatherStation;49387063D9374225;134;192;PLV2;0.00;"2018-06-27 08:04:30";128;noraw;1;meshliuma460
104614;WeatherStation;49387063D9374225;134;248;PLV2;0.00;"2018-06-27 09:05:05";128;noraw;1;meshliuma460
105147;WeatherStation;49387063D9374225;134;44;PLV2;0.00;"2018-06-27 10:01:52";128;noraw;1;meshliuma460
105650;WeatherStation;49387063D9374225;134;101;PLV2;0.00;"2018-06-27 11:04:30";128;noraw;1;meshliuma460
106170;WeatherStation;49387063D9374225;134;153;PLV2;0.00;"2018-06-27 12:01:59";128;noraw;1;meshliuma460
106749;WeatherStation;49387063D9374225;134;209;PLV2;0.00;"2018-06-27 13:03:16";128;noraw;1;meshliuma460
107323;WeatherStation;49387063D9374225;134;9;PLV2;0.00;"2018-06-27 14:04:00";128;noraw;1;meshliuma460
107886;WeatherStation;49387063D9374225;134;65;PLV2;0.00;"2018-06-27 15:04:51";128;noraw;1;meshliuma460
108434;WeatherStation;49387063D9374225;134;117;PLV2;0.00;"2018-06-27 16:00:57";128;noraw;1;meshliuma460
109022;WeatherStation;49387063D9374225;134;173;PLV2;0.00;"2018-06-27 17:01:40";128;noraw;1;meshliuma460
109589;WeatherStation;49387063D9374225;134;229;PLV2;0.00;"2018-06-27 18:02:23";128;noraw;1;meshliuma460
110157;WeatherStation;49387063D9374225;134;29;PLV2;0.00;"2018-06-27 19:03:06";128;noraw;1;meshliuma460
110748;WeatherStation;49387063D9374225;134;85;PLV2;0.00;"2018-06-27 20:03:37";128;noraw;1;meshliuma460
111325;WeatherStation;49387063D9374225;134;141;PLV2;0.00;"2018-06-27 21:03:52";128;noraw;1;meshliuma460
111905;WeatherStation;49387063D9374225;134;197;PLV2;0.00;"2018-06-27 22:04:17";128;noraw;1;meshliuma460
112471;WeatherStation;49387063D9374225;134;253;PLV2;0.00;"2018-06-27 23:04:31";128;noraw;1;meshliuma460
113061;WeatherStation;49387063D9374225;134;53;PLV2;0.00;"2018-06-28 00:05:03";128;noraw;1;meshliuma460
113649;WeatherStation;49387063D9374225;134;56;PLV2;0.00;"2018-06-28 01:04:54";128;noraw;1;meshliuma460
114227;WeatherStation;49387063D9374225;134;112;PLV2;0.00;"2018-06-28 02:05:07";128;noraw;1;meshliuma460
114764;WeatherStation;49387063D9374225;134;164;PLV2;0.00;"2018-06-28 03:01:01";128;noraw;1;meshliuma460
115356;WeatherStation;49387063D9374225;134;220;PLV2;0.00;"2018-06-28 04:01:14";128;noraw;1;meshliuma460
115922;WeatherStation;49387063D9374225;134;20;PLV2;0.00;"2018-06-28 05:01:26";128;noraw;1;meshliuma460
116513;WeatherStation;49387063D9374225;134;76;PLV2;0.00;"2018-06-28 06:01:38";128;noraw;1;meshliuma460
117099;WeatherStation;49387063D9374225;134;132;PLV2;0.00;"2018-06-28 07:01:50";128;noraw;1;meshliuma460
117673;WeatherStation;49387063D9374225;134;188;PLV2;0.00;"2018-06-28 08:02:02";128;noraw;1;meshliuma460
118255;WeatherStation;49387063D9374225;134;244;PLV2;0.00;"2018-06-28 09:02:22";128;noraw;1;meshliuma460
118834;WeatherStation;49387063D9374225;134;44;PLV2;0.00;"2018-06-28 10:02:49";128;noraw;1;meshliuma460
119418;WeatherStation;49387063D9374225;134;100;PLV2;0.00;"2018-06-28 11:03:50";128;noraw;1;meshliuma460
119969;WeatherStation;49387063D9374225;134;155;PLV2;0.00;"2018-06-28 12:05:10";128;noraw;1;meshliuma460
120529;WeatherStation;49387063D9374225;134;208;PLV2;0.00;"2018-06-28 13:02:54";128;noraw;1;meshliuma460
121116;WeatherStation;49387063D9374225;134;8;PLV2;0.00;"2018-06-28 14:04:15";128;noraw;1;meshliuma460
121702;WeatherStation;49387063D9374225;134;64;PLV2;0.00;"2018-06-28 15:05:13";128;noraw;1;meshliuma460
122226;WeatherStation;49387063D9374225;134;115;PLV2;0.00;"2018-06-28 16:03:20";128;noraw;1;meshliuma460
122782;WeatherStation;49387063D9374225;134;168;PLV2;0.00;"2018-06-28 17:01:36";128;noraw;1;meshliuma460
123376;WeatherStation;49387063D9374225;134;224;PLV2;0.00;"2018-06-28 18:03:20";128;noraw;1;meshliuma460
123960;WeatherStation;49387063D9374225;134;24;PLV2;0.00;"2018-06-28 19:03:48";128;noraw;1;meshliuma460
124551;WeatherStation;49387063D9374225;134;80;PLV2;0.00;"2018-06-28 20:04:26";128;noraw;1;meshliuma460
125144;WeatherStation;49387063D9374225;134;136;PLV2;0.00;"2018-06-28 21:04:44";128;noraw;1;meshliuma460
125723;WeatherStation;49387063D9374225;134;194;PLV2;0.56;"2018-06-28 22:03:54";128;noraw;1;meshliuma460
126297;WeatherStation;49387063D9374225;134;251;PLV2;1.40;"2018-06-28 23:04:56";128;noraw;1;meshliuma460
126849;WeatherStation;49387063D9374225;134;47;PLV2;0.00;"2018-06-29 00:01:01";128;noraw;1;meshliuma460
127430;WeatherStation;49387063D9374225;134;56;PLV2;0.00;"2018-06-29 01:01:13";128;noraw;1;meshliuma460
128008;WeatherStation;49387063D9374225;134;112;PLV2;0.00;"2018-06-29 02:01:25";128;noraw;1;meshliuma460
128572;WeatherStation;49387063D9374225;134;168;PLV2;0.00;"2018-06-29 03:01:37";128;noraw;1;meshliuma460
129020;WeatherStation;49387063D9374225;134;224;PLV2;0.00;"2018-06-29 04:01:49";128;noraw;1;meshliuma460
129591;WeatherStation;49387063D9374225;134;24;PLV2;0.00;"2018-06-29 05:02:01";128;noraw;1;meshliuma460
130187;WeatherStation;49387063D9374225;134;80;PLV2;0.00;"2018-06-29 06:02:13";128;noraw;1;meshliuma460
130765;WeatherStation;49387063D9374225;134;136;PLV2;0.00;"2018-06-29 07:02:26";128;noraw;1;meshliuma460
131332;WeatherStation;49387063D9374225;134;192;PLV2;0.00;"2018-06-29 08:02:39";128;noraw;1;meshliuma460
131901;WeatherStation;49387063D9374225;134;248;PLV2;0.00;"2018-06-29 09:02:54";128;noraw;1;meshliuma460
132489;WeatherStation;49387063D9374225;134;48;PLV2;0.00;"2018-06-29 10:03:35";128;noraw;1;meshliuma460
